UA_ID,KPI_Name,Sub_KPI_Type,Period,actual_value,target_value,achievement_pct,unit,is_missing_actual
CE-001,On Time Delivery Rate,Air,2024-01,0.94,0.95,98.95,%,False
CE-001,On Time Delivery Rate,Air,2024-02,0.93,0.95,97.89,%,False
CE-001,On Time Delivery Rate,Air,2024-03,,0.95,,%,True
CE-001,On Time Delivery Rate,Air,2024-04,0.95,0.95,100.0,%,False
CE-001,On Time Delivery Rate,Air,2024-05,0.96,0.95,101.05,%,False
CE-001,On Time Delivery Rate,Air,2024-06,0.94,0.95,98.95,%,False
CE-001,On Time Delivery Rate,Air,2024-07,0.95,0.95,100.0,%,False
CE-001,On Time Delivery Rate,Air,2024-08,,0.95,,%,True
CE-001,On Time Delivery Rate,Air,2024-09,0.93,0.95,97.89,%,False
CE-001,On Time Delivery Rate,Air,2024-10,0.95,0.95,100.0,%,False
CE-001,On Time Delivery Rate,Air,2024-11,0.96,0.95,101.05,%,False
CE-001,On Time Delivery Rate,Air,2024-12,,0.95,,%,True
CE-002,On Time Delivery Rate,Sea,2024-01,0.88,0.9,97.78,%,False
CE-002,On Time Delivery Rate,Sea,2024-02,0.9,0.9,100.0,%,False
CE-002,On Time Delivery Rate,Sea,2024-03,0.91,0.9,101.11,%,False
CE-002,On Time Delivery Rate,Sea,2024-04,,0.9,,%,True
CE-002,On Time Delivery Rate,Sea,2024-05,0.89,0.9,98.89,%,False
CE-002,On Time Delivery Rate,Sea,2024-06,0.9,0.9,100.0,%,False
CE-002,On Time Delivery Rate,Sea,2024-07,0.88,0.9,97.78,%,False
CE-002,On Time Delivery Rate,Sea,2024-08,0.91,0.9,101.11,%,False
CE-002,On Time Delivery Rate,Sea,2024-09,,0.9,,%,True
CE-002,On Time Delivery Rate,Sea,2024-10,0.9,0.9,100.0,%,False
CE-002,On Time Delivery Rate,Sea,2024-11,0.89,0.9,98.89,%,False
CE-002,On Time Delivery Rate,Sea,2024-12,0.9,0.9,100.0,%,False
CE-007,Net Promoter Score,Key Account,2024-01,72.0,75.0,96.0,Number,False
CE-007,Net Promoter Score,Key Account,2024-02,75.0,75.0,100.0,Number,False
CE-007,Net Promoter Score,Key Account,2024-03,73.0,75.0,97.33,Number,False
CE-007,Net Promoter Score,Key Account,2024-04,,75.0,,Number,True
CE-007,Net Promoter Score,Key Account,2024-05,76.0,75.0,101.33,Number,False
CE-007,Net Promoter Score,Key Account,2024-06,74.0,75.0,98.67,Number,False
CE-007,Net Promoter Score,Key Account,2024-07,77.0,75.0,102.67,Number,False
CE-007,Net Promoter Score,Key Account,2024-08,73.0,75.0,97.33,Number,False
CE-007,Net Promoter Score,Key Account,2024-09,,75.0,,Number,True
CE-007,Net Promoter Score,Key Account,2024-10,75.0,75.0,100.0,Number,False
CE-007,Net Promoter Score,Key Account,2024-11,76.0,75.0,101.33,Number,False
CE-007,Net Promoter Score,Key Account,2024-12,74.0,75.0,98.67,Number,False
CE-006,Net Promoter Score,ALL,2024-01,68.0,70.0,97.14,Number,False
CE-006,Net Promoter Score,ALL,2024-02,72.0,70.0,102.86,Number,False
CE-006,Net Promoter Score,ALL,2024-03,70.0,70.0,100.0,Number,False
CE-006,Net Promoter Score,ALL,2024-04,71.0,70.0,101.43,Number,False
CE-006,Net Promoter Score,ALL,2024-05,,70.0,,Number,True
CE-006,Net Promoter Score,ALL,2024-06,69.0,70.0,98.57,Number,False
CE-006,Net Promoter Score,ALL,2024-07,73.0,70.0,104.29,Number,False
CE-006,Net Promoter Score,ALL,2024-08,70.0,70.0,100.0,Number,False
CE-006,Net Promoter Score,ALL,2024-09,,70.0,,Number,True
CE-006,Net Promoter Score,ALL,2024-10,71.0,70.0,101.43,Number,False
CE-006,Net Promoter Score,ALL,2024-11,72.0,70.0,102.86,Number,False
CE-006,Net Promoter Score,ALL,2024-12,70.0,70.0,100.0,Number,False
CE-005,Customer Returns,ALL,2024-01,45.0,50.0,110.0,Number,False
CE-005,Customer Returns,ALL,2024-02,52.0,50.0,96.0,Number,False
CE-005,Customer Returns,ALL,2024-03,48.0,50.0,104.0,Number,False
CE-005,Customer Returns,ALL,2024-04,,50.0,,Number,True
CE-005,Customer Returns,ALL,2024-05,55.0,50.0,90.0,Number,False
CE-005,Customer Returns,ALL,2024-06,43.0,50.0,114.0,Number,False
CE-005,Customer Returns,ALL,2024-07,49.0,50.0,102.0,Number,False
CE-005,Customer Returns,ALL,2024-08,,50.0,,Number,True
CE-005,Customer Returns,ALL,2024-09,51.0,50.0,98.0,Number,False
CE-005,Customer Returns,ALL,2024-10,47.0,50.0,106.0,Number,False
CE-005,Customer Returns,ALL,2024-11,50.0,50.0,100.0,Number,False
CE-005,Customer Returns,ALL,2024-12,,50.0,,Number,True
CE-003,Defect Rate,Critical,2024-01,0.03,0.02,50.0,%,False
CE-003,Defect Rate,Critical,2024-02,0.02,0.02,100.0,%,False
CE-003,Defect Rate,Critical,2024-03,0.01,0.02,150.0,%,False
CE-003,Defect Rate,Critical,2024-04,0.02,0.02,100.0,%,False
CE-003,Defect Rate,Critical,2024-05,,0.02,,%,True
CE-003,Defect Rate,Critical,2024-06,0.03,0.02,50.0,%,False
CE-003,Defect Rate,Critical,2024-07,0.02,0.02,100.0,%,False
CE-003,Defect Rate,Critical,2024-08,0.01,0.02,150.0,%,False
CE-003,Defect Rate,Critical,2024-09,0.02,0.02,100.0,%,False
CE-003,Defect Rate,Critical,2024-10,,0.02,,%,True
CE-003,Defect Rate,Critical,2024-11,0.02,0.02,100.0,%,False
CE-003,Defect Rate,Critical,2024-12,0.03,0.02,50.0,%,False
CE-004,Defect Rate,Minor,2024-01,0.06,0.05,80.0,%,False
CE-004,Defect Rate,Minor,2024-02,0.05,0.05,100.0,%,False
CE-004,Defect Rate,Minor,2024-03,0.04,0.05,120.0,%,False
CE-004,Defect Rate,Minor,2024-04,0.05,0.05,100.0,%,False
CE-004,Defect Rate,Minor,2024-05,0.06,0.05,80.0,%,False
CE-004,Defect Rate,Minor,2024-06,,0.05,,%,True
CE-004,Defect Rate,Minor,2024-07,0.05,0.05,100.0,%,False
CE-004,Defect Rate,Minor,2024-08,0.04,0.05,120.0,%,False
CE-004,Defect Rate,Minor,2024-09,0.06,0.05,80.0,%,False
CE-004,Defect Rate,Minor,2024-10,0.05,0.05,100.0,%,False
CE-004,Defect Rate,Minor,2024-11,,0.05,,%,True
CE-004,Defect Rate,Minor,2024-12,0.06,0.05,80.0,%,False
UA-003,CMP Cost Ratio,Direct,2024-01,0.07,0.08,112.5,%,False
UA-003,CMP Cost Ratio,Direct,2024-02,0.08,0.08,100.0,%,False
UA-003,CMP Cost Ratio,Direct,2024-03,0.09,0.08,87.5,%,False
UA-003,CMP Cost Ratio,Direct,2024-04,0.08,0.08,100.0,%,False
UA-003,CMP Cost Ratio,Direct,2024-05,0.07,0.08,112.5,%,False
UA-003,CMP Cost Ratio,Direct,2024-06,,0.08,,%,True
UA-003,CMP Cost Ratio,Direct,2024-07,0.08,0.08,100.0,%,False
UA-003,CMP Cost Ratio,Direct,2024-08,0.09,0.08,87.5,%,False
UA-003,CMP Cost Ratio,Direct,2024-09,0.07,0.08,112.5,%,False
UA-003,CMP Cost Ratio,Direct,2024-10,0.08,0.08,100.0,%,False
UA-003,CMP Cost Ratio,Direct,2024-11,0.09,0.08,87.5,%,False
UA-003,CMP Cost Ratio,Direct,2024-12,,0.08,,%,True
UA-004,CMP Cost Ratio,Indirect,2024-01,0.03,0.03,100.0,%,False
UA-004,CMP Cost Ratio,Indirect,2024-02,0.03,0.03,100.0,%,False
UA-004,CMP Cost Ratio,Indirect,2024-03,0.04,0.03,66.67,%,False
UA-004,CMP Cost Ratio,Indirect,2024-04,0.03,0.03,100.0,%,False
UA-004,CMP Cost Ratio,Indirect,2024-05,0.03,0.03,100.0,%,False
