Pillar,Period,avg_achievement_pct
CE,2024-01,89.98
CE,2024-02,99.54
CE,2024-03,112.07
CE,2024-04,100.36
CE,2024-05,94.25
CE,2024-06,93.36
CE,2024-07,100.96
CE,2024-08,113.69
CE,2024-09,93.97
CE,2024-10,101.24
CE,2024-11,100.69
CE,2024-12,85.73
FS,2024-01,77.26
FS,2024-02,78.79
FS,2024-03,80.85
FS,2024-04,78.24
FS,2024-05,75.81
FS,2024-06,74.57
FS,2024-07,65.94
FS,2024-08,74.19
FS,2024-09,95.2
FS,2024-10,76.7
FS,2024-11,74.72
FS,2024-12,72.17
OF,2024-01,79.16
OF,2024-02,87.55
OF,2024-03,88.54
OF,2024-04,102.23
OF,2024-05,80.94
OF,2024-06,89.44
OF,2024-07,93.93
OF,2024-08,98.48
OF,2024-09,79.02
OF,2024-10,87.25
OF,2024-11,84.62
OF,2024-12,77.39
PP,2024-01,104.44
PP,2024-02,96.04
PP,2024-03,68.89
PP,2024-04,99.38
PP,2024-05,92.22
PP,2024-06,101.11
PP,2024-07,100.0
PP,2024-08,93.75
PP,2024-09,103.33
PP,2024-10,76.36
PP,2024-11,95.56
PP,2024-12,100.0
