UA_ID,KPI_Name,Sub_KPI_Type,Period,actual_value,ytd_actual
CE-001,On Time Delivery Rate,Air,2024-01,0.94,0.94
CE-001,On Time Delivery Rate,Air,2024-02,0.93,1.87
CE-001,On Time Delivery Rate,Air,2024-03,,
CE-001,On Time Delivery Rate,Air,2024-04,0.95,2.82
CE-001,On Time Delivery Rate,Air,2024-05,0.96,3.78
CE-001,On Time Delivery Rate,Air,2024-06,0.94,4.72
CE-001,On Time Delivery Rate,Air,2024-07,0.95,5.67
CE-001,On Time Delivery Rate,Air,2024-08,,
CE-001,On Time Delivery Rate,Air,2024-09,0.93,6.6
CE-001,On Time Delivery Rate,Air,2024-10,0.95,7.55
CE-001,On Time Delivery Rate,Air,2024-11,0.96,8.51
CE-001,On Time Delivery Rate,Air,2024-12,,
CE-002,On Time Delivery Rate,Sea,2024-01,0.88,0.88
CE-002,On Time Delivery Rate,Sea,2024-02,0.9,1.78
CE-002,On Time Delivery Rate,Sea,2024-03,0.91,2.69
CE-002,On Time Delivery Rate,Sea,2024-04,,
CE-002,On Time Delivery Rate,Sea,2024-05,0.89,3.58
CE-002,On Time Delivery Rate,Sea,2024-06,0.9,4.48
CE-002,On Time Delivery Rate,Sea,2024-07,0.88,5.36
CE-002,On Time Delivery Rate,Sea,2024-08,0.91,6.2700000000000005
CE-002,On Time Delivery Rate,Sea,2024-09,,
CE-002,On Time Delivery Rate,Sea,2024-10,0.9,7.17
CE-002,On Time Delivery Rate,Sea,2024-11,0.89,8.06
CE-002,On Time Delivery Rate,Sea,2024-12,0.9,8.96
CE-003,Defect Rate,Critical,2024-01,0.03,0.03
CE-003,Defect Rate,Critical,2024-02,0.02,0.05
CE-003,Defect Rate,Critical,2024-03,0.01,0.06
CE-003,Defect Rate,Critical,2024-04,0.02,0.08
CE-003,Defect Rate,Critical,2024-05,,
CE-003,Defect Rate,Critical,2024-06,0.03,0.11
CE-003,Defect Rate,Critical,2024-07,0.02,0.13
CE-003,Defect Rate,Critical,2024-08,0.01,0.14
CE-003,Defect Rate,Critical,2024-09,0.02,0.16
CE-003,Defect Rate,Critical,2024-10,,
CE-003,Defect Rate,Critical,2024-11,0.02,0.18
CE-003,Defect Rate,Critical,2024-12,0.03,0.21
CE-004,Defect Rate,Minor,2024-01,0.06,0.06
CE-004,Defect Rate,Minor,2024-02,0.05,0.11
CE-004,Defect Rate,Minor,2024-03,0.04,0.15
CE-004,Defect Rate,Minor,2024-04,0.05,0.2
CE-004,Defect Rate,Minor,2024-05,0.06,0.26
CE-004,Defect Rate,Minor,2024-06,,
CE-004,Defect Rate,Minor,2024-07,0.05,0.31
CE-004,Defect Rate,Minor,2024-08,0.04,0.35
CE-004,Defect Rate,Minor,2024-09,0.06,0.41000000000000003
CE-004,Defect Rate,Minor,2024-10,0.05,0.46
CE-004,Defect Rate,Minor,2024-11,,
CE-004,Defect Rate,Minor,2024-12,0.06,0.52
CE-005,Customer Returns,ALL,2024-01,45.0,45.0
CE-005,Customer Returns,ALL,2024-02,52.0,97.0
CE-005,Customer Returns,ALL,2024-03,48.0,145.0
CE-005,Customer Returns,ALL,2024-04,,
CE-005,Customer Returns,ALL,2024-05,55.0,200.0
CE-005,Customer Returns,ALL,2024-06,43.0,243.0
CE-005,Customer Returns,ALL,2024-07,49.0,292.0
CE-005,Customer Returns,ALL,2024-08,,
CE-005,Customer Returns,ALL,2024-09,51.0,343.0
CE-005,Customer Returns,ALL,2024-10,47.0,390.0
CE-005,Customer Returns,ALL,2024-11,50.0,440.0
CE-005,Customer Returns,ALL,2024-12,,
CE-006,Net Promoter Score,ALL,2024-01,68.0,68.0
CE-006,Net Promoter Score,ALL,2024-02,72.0,140.0
CE-006,Net Promoter Score,ALL,2024-03,70.0,210.0
CE-006,Net Promoter Score,ALL,2024-04,71.0,281.0
CE-006,Net Promoter Score,ALL,2024-05,,
CE-006,Net Promoter Score,ALL,2024-06,69.0,350.0
CE-006,Net Promoter Score,ALL,2024-07,73.0,423.0
CE-006,Net Promoter Score,ALL,2024-08,70.0,493.0
CE-006,Net Promoter Score,ALL,2024-09,,
