order_no,category,amount,currency,period,customer_name,season,drop,fabric_type,fx_rate_to_vnd,converted_amount_vnd,is_orphaned,is_duplicate,row_hash,ingestion_ts,source_file
ORD-001,fabric,15000.0,USD,2024-01,Sunrise Apparel,SS24,D1,Cotton,26000,390000000.0,False,False,3e9e01652c3e1c4b0651b574ae1d142c92b462ddee6450b4af339447052083cd,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-001,trim,3200.0,USD,2024-01,Sunrise Apparel,SS24,D1,Cotton,26000,83200000.0,False,False,cedc1bff262e56ae4b35489d853f537d82b5f1ac4d0806803e4068a2e423a54c,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-001,outsource,1800.0,USD,2024-01,Sunrise Apparel,SS24,D1,Cotton,26000,46800000.0,False,False,c419aba64dee2ef1cb49c5bcc07ef99a09d4de4e88e356c066d876ed8624c21d,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-002,fabric,8750.0,EUR,2024-01,Sunrise Apparel,SS24,D1,Polyester,27000,236250000.0,False,False,5618de6cbe799425df2c7232b5ea92926f1995395a61d40000881d0fe1c82e66,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-002,outsource,2100.0,EUR,2024-01,Sunrise Apparel,SS24,D1,Polyester,27000,56700000.0,False,False,f6b548aadfce284e4734739bfc4dd9008dd85d2cb27e45b51b93a44f5d09e893,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-002,trim,950.0,EUR,2024-01,Sunrise Apparel,SS24,D1,Polyester,27000,25650000.0,False,False,6f9ee04c50b39aa3c33c475456b66f36f28b83fd1708134bafac314650c1243c,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-003,fabric,12000.0,VND,2024-01,Sunrise Apparel,AW24,D2,Cotton,1,12000.0,False,False,6dc342133faa979b57194df1244186619691353fb304cfe81b1c167c1d5920f3,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-003,outsource,4500.0,VND,2024-01,Sunrise Apparel,AW24,D2,Cotton,1,4500.0,False,False,ca19fa1ff8a1cc53ce41b55466be80c4328a4d22fec66bb6a6cfe24766000d0c,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-003,trim,2200.0,VND,2024-01,Sunrise Apparel,AW24,D2,Cotton,1,2200.0,False,False,078e67795eb7c1012667c9d4d76d7e09ae0a000746c3eb6f18c1cedc84929422,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-004,fabric,9800.0,USD,2024-02,Sunrise Apparel,AW24,D2,Linen,26000,254800000.0,False,False,83a835034c5cfc1828e0431273dd084daf7f6d91100d1bc73bb9f0bf67f013c3,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
