Pillar,Sub_Pillar,Department,KPI_Name,Sub_KPI_Type,Unit,Target,actual_value,PERIOD,SOURCE_FILE,IS_DUPLICATE,UA_ID,IS_ORPHANED,ROW_HASH,INGESTION_TS
CE,Delivery,Logistics,On Time Delivery Rate,Air,%,0.95,0.94,2024-01,kpi_actual_wide.csv,False,CE-001,False,107aff056a4f2d9ba8e8e2601c7197dfd037ded43160418172010fe9716beb5f,2026-09-10 10:48:09.547024+00:00
CE,Delivery,Logistics,On Time Delivery Rate,Air,%,0.95,0.93,2024-02,kpi_actual_wide.csv,False,CE-001,False,1a4ad9c70aafa72f6f5c4304113bce61b83a2df8664cf8ac3a733868fe4db924,2026-09-10 10:48:09.547024+00:00
CE,Delivery,Logistics,On Time Delivery Rate,Air,%,0.95,,2024-03,kpi_actual_wide.csv,False,CE-001,False,6fe356d2b6e526b6f104c9d001566ae761f626fcec8008458a2b9f59f4d3bc3b,2026-09-10 10:48:09.547024+00:00
CE,Delivery,Logistics,On Time Delivery Rate,Air,%,0.95,0.95,2024-04,kpi_actual_wide.csv,False,CE-001,False,6549765e2f0c319047c9c8d7d393df975d0b2d0fc69f988830600475f7765e46,2026-09-10 10:48:09.547024+00:00
CE,Delivery,Logistics,On Time Delivery Rate,Air,%,0.95,0.96,2024-05,kpi_actual_wide.csv,False,CE-001,False,81297bf79b656e33e1030a547b4b811cd1a45b448fd19ffb8fa419c11169c19d,2026-09-10 10:48:09.547024+00:00
CE,Delivery,Logistics,On Time Delivery Rate,Air,%,0.95,0.94,2024-06,kpi_actual_wide.csv,False,CE-001,False,dba671c8b819428770aea3101bdd7f59f63a160f7f9dfb81ead4b6459995f7ae,2026-09-10 10:48:09.547024+00:00
CE,Delivery,Logistics,On Time Delivery Rate,Air,%,0.95,0.95,2024-07,kpi_actual_wide.csv,False,CE-001,False,6a7da90e04c0b4f68bf92f88d8a7614846a8b7d096ab93025c56e25e693e2c73,2026-09-10 10:48:09.547024+00:00
CE,Delivery,Logistics,On Time Delivery Rate,Air,%,0.95,,2024-08,kpi_actual_wide.csv,False,CE-001,False,89470b502bd9d6a29d2964b17bbe67c74f534adff7eafa3b9df69dcdde38484e,2026-09-10 10:48:09.547024+00:00
CE,Delivery,Logistics,On Time Delivery Rate,Air,%,0.95,0.93,2024-09,kpi_actual_wide.csv,False,CE-001,False,255ddb1497475e15ace4fbb404106dee93ced6494ea03f15102b49517068073b,2026-09-10 10:48:09.547024+00:00
CE,Delivery,Logistics,On Time Delivery Rate,Air,%,0.95,0.95,2024-10,kpi_actual_wide.csv,False,CE-001,False,76e8aa0f3f46a31423f5c18a6852b8d395a2bdf80ec0a2c2014e4e20ace736ce,2026-09-10 10:48:09.547024+00:00
